Column1,Column2,Column3,Column4,Column5
Generated on: 2025-06-18,,,,
Course Code,Faculty Initial,Section,Seats,Time
CSE475,ATIQ,4,32/32,M 04:50 PM - 06:50 PM
CSE475,ATIQ,5,18/32,W 04:50 PM - 06:50 PM
CSE475,ATIQ,5,18/32,SR 04:50 PM - 06:20 PM
CSE477,AMITM,1,32/32,R 01:30 PM - 03:00 PM
CSE477,AMITM,1,32/32,M 10:10 AM - 12:10 PM
CSE477,AMITM,1,32/32,S 01:30 PM - 03:00 PM
CSE477,AMITM,2,32/32,T 08:00 AM - 10:00 AM
CSE477,AMITM,2,32/32,MW 08:30 AM - 10:00 AM
CSE477,TBA,3,0/0,S 03:10 PM - 04:40 PM
CSE477,TBA,3,0/0,W 04:50 PM - 06:50 PM
CSE477,TBA,3,0/0,R 03:10 PM - 04:40 PM
CSE479,NTN,1,32/32,T 10:10 AM - 12:10 PM
CSE479,NTN,1,32/32,MW 08:30 AM - 10:00 AM
CSE479,ARMAN,2,12/32,SR 11:50 AM - 01:20 PM
CSE479,ARMAN,2,12/32,T 10:10 AM - 12:10 PM
CSE479,ARMAN,3,22/32,T 01:30 PM - 03:30 PM
CSE479,ARMAN,3,22/32,S 01:30 PM - 03:00 PM
CSE479,ARMAN,3,22/32,R 01:30 PM - 03:00 PM
CSE479,TBA,4,0/0,MW 04:50 PM - 06:20 PM
CSE479,TBA,4,0/0,R 04:50 PM - 06:50 PM
CSE487,DAHF,1,40/40,MW 11:50 AM - 01:20 PM
CSE487,DAHF,2,40/40,MW 01:30 PM - 03:00 PM
CSE487,MAHCY,3,35/40,ST 04:50 PM - 06:20 PM
CSE487,TBA,4,0/0,S 04:50 PM - 06:20 PM
CSE487,TBA,4,0/0,R 04:50 PM - 06:20 PM
CSE488,DMRH,1,32/32,S 01:30 PM - 03:30 PM
CSE488,DMRH,1,32/32,MW 01:30 PM - 03:00 PM
CSE489,MKR,1,32/32,ST 11:50 AM - 01:20 PM
CSE489,MKR,1,32/32,M 08:00 AM - 10:00 AM
CSE489,TBA,2,0/0,W 08:00 AM - 10:00 AM
CSE489,TBA,2,0/0,S 10:10 AM - 11:40 AM
CSE489,TBA,2,0/0,R 10:10 AM - 11:40 AM
CSE495,SDIS,1,37/40,MW 01:30 PM - 03:00 PM
CSE495,DCR,2,40/40,ST 04:50 PM - 06:20 PM
CSE495,DCR,3,40/40,ST 06:30 PM - 08:00 PM
CSE497,TBA,1,0/30,F 12:00 PM - 03:59 PM
CSE504,DMSR,1,0/30,F 09:00 AM - 12:00 PM
CSE505,DMRH,1,0/30,T 06:30 PM - 09:30 PM
CSE520,TBA,1,0/30,M 06:30 PM - 09:30 PM
CSE521,MRAR,1,0/30,A 10:10 AM - 01:10 PM
CSE523,TBA,1,0/30,S 06:00 PM - 09:00 PM
CSE525,DRUI,1,0/30,R 06:30 PM - 09:30 PM
CSE527,TBA,1,0/0,R 06:30 PM - 09:30 PM
CSE550,TBA,1,0/0,S 06:30 PM - 09:30 PM
CSE552,TBA,1,0/30,W 06:30 PM - 09:30 PM
CSE555,TBA,1,0/0,M 06:30 PM - 09:30 PM
CSE556,TBA,1,0/30,T 06:30 PM - 09:30 PM
CSE597,TBA,1,0/30,A 06:30 PM - 09:30 PM
CSE599,TBA,1,0/30,S 06:30 PM - 09:30 PM
DSA101,FMAR,1,13/40,SR 11:50 AM - 01:20 PM
DSA101,FMAR,2,41/41,MW 11:50 AM - 01:20 PM
DSA5001,DSR,1,1/35,A 02:30 PM - 05:30 PM
DSA5002,DPCS,1,0/35,A 09:00 AM - 12:00 PM
DSA5003,SAH,1,8/35,F 09:00 AM - 12:00 PM
DSA5004,SAJIB,1,10/35,F 02:30 PM - 05:30 PM
DSA5005,DSR,1,23/35,A 09:00 AM - 12:00 PM
DSA5006,SAH,1,21/35,F 02:30 PM - 05:30 PM
DSA5007,REZAUL,1,25/35,A 02:30 PM - 05:30 PM
DSA5011,DPCS,1,11/35,F 09:00 AM - 12:00 PM
DSA5021,REZAUL,1,22/35,A 09:00 AM - 12:00 PM
DSA5045,MSQI,1,16/35,A 02:30 PM - 05:30 PM
DSA5063,SAJIB,1,25/35,F 09:00 AM - 12:00 PM
DSA5099A,TBA,1,24/30,S 10:10 AM - 11:25 AM
DSA5099B,TBA,1,6/30,M 10:10 AM - 01:20 PM
ECO501,DEH,1,15/40,F 02:30 PM - 05:30 PM
ECO532,DHN,1,17/40,A 03:20 PM - 06:20 PM
ECO585,DEH,1,13/13,F 10:00 AM - 01:00 PM
ECO625,YUNUS,1,17/20,A 09:00 AM - 11:59 AM
ECO699,TBA,1,3/20,A 06:30 PM - 08:30 PM
ECO7101,MC,1,40/40,ST 11:50 AM - 01:20 PM
ECO7101,MC,2,40/40,MW 11:50 AM - 01:20 PM
ECO7101,IH,3,43/43,ST 10:10 AM - 11:40 AM
ECO7101,AMRH,4,41/41,ST 08:30 AM - 10:00 AM
ECO7101,SYJ,5,42/42,SR 08:30 AM - 10:00 AM
ECO7101,UM,6,42/42,MW 10:10 AM - 11:40 AM
ECO7101,UM,7,42/42,MW 03:10 PM - 04:40 PM
ECO7101,MNK,8,42/42,MW 08:30 AM - 10:00 AM
ECO7101,MNK,9,41/42,MW 01:30 PM - 03:00 PM
ECO7101,AMRH,10,42/42,ST 10:10 AM - 11:40 AM
ECO7101,SADIA,11,42/42,MW 01:30 PM - 03:00 PM
ECO7101,TMNA,12,43/43,SR 10:10 AM - 11:40 AM
ECO7101,SANJANA,13,41/42,MW 08:30 AM - 10:00 AM
ECO7101,STO,14,42/42,S 08:30 AM - 10:00 AM
ECO7101,STO,14,42/42,R 08:30 AM - 10:00 AM
ECO7101,ABONTI,15,42/42,TR 08:30 AM - 10:00 AM
ECO7101,SANJANA,16,42/42,MW 03:10 PM - 04:40 PM
ECO7101,STO,17,42/42,SR 01:30 PM - 03:00 PM
ECO7101,ABONTI,18,42/42,R 01:30 PM - 03:00 PM
ECO7101,ABONTI,18,42/42,T 01:30 PM - 03:00 PM
ECO7101,SADIA,19,40/40,ST 04:50 PM - 06:20 PM
ECO7101,SEH,20,40/40,ST 08:30 AM - 10:00 AM
ECO7101,TBA,21,0/0,MW 08:30 AM - 10:00 AM
ECO7101,TBA,22,0/0,TR 01:30 PM - 03:00 PM
ECO7102,MAAM,1,39/40,SR 08:30 AM - 10:00 AM
ECO7102,SADIA,2,40/40,S 01:30 PM - 03:00 PM
ECO7102,SADIA,2,40/40,R 01:30 PM - 03:00 PM
ECO7102,KMM,3,43/43,SR 08:30 AM - 10:00 AM
ECO7102,KMM,4,44/44,SR 01:30 PM - 03:00 PM
ECO7102,SANJANA,5,44/44,SR 04:50 PM - 06:20 PM
ECO7102,GQH,6,38/40,MW 08:30 AM - 10:00 AM
ECO7102,SADMAN,7,39/40,MW 04:50 PM - 06:20 PM
ECO7102,STO,8,43/43,M 08:30 AM - 10:00 AM
ECO7102,STO,8,43/43,W 08:30 AM - 10:00 AM
ECO7102,SADMAN,9,41/41,MW 01:30 PM - 03:00 PM
ECO7102,STO,10,43/43,W 03:10 PM - 04:40 PM
ECO7102,STO,10,43/43,M 03:10 PM - 04:40 PM
ECO7102,TBA,11,0/0,MW 10:10 AM - 11:40 AM
ECO7102,TBA,12,0/0,SR 10:10 AM - 11:40 AM
ECO7104,ERP,1,35/35,MW 01:30 PM - 03:00 PM
ECO7104,BKN,2,35/35,MW 08:30 AM - 10:00 AM
ECO7104,AFD,3,30/30,MW 01:30 PM - 03:00 PM
ECO7104,MASM,4,35/35,MW 03:10 PM - 04:40 PM
ECO7104,ERP,5,19/35,MW 04:50 PM - 06:20 PM
ECO7104,TMNA,6,40/40,MW 04:50 PM - 06:20 PM
ECO7104,STH,7,40/40,M 03:10 PM - 04:40 PM
ECO7104,STH,7,40/40,W 03:10 PM - 04:40 PM
ECO7104,SADMAN,8,40/40,ST 04:50 PM - 06:20 PM
ECO7104,STH,9,36/40,S 10:10 AM - 11:40 AM
ECO7104,STH,9,36/40,R 10:10 AM - 11:40 AM
ECO7104,PPC,10,40/40,M 01:30 PM - 03:00 PM
ECO7104,PPC,10,40/40,W 01:30 PM - 03:00 PM
ECO7104,SADMAN,11,40/40,TR 03:10 PM - 04:40 PM
ECO7104,TMNA,12,40/40,MW 01:30 PM - 03:00 PM
ECO7200,MASM,1,49/49,MW 01:30 PM - 03:00 PM
ECO7204,ERP,1,41/41,TR 08:30 AM - 10:00 AM
ECO7204,ERP,2,42/42,T 01:30 PM - 03:00 PM
ECO7204,ERP,2,42/42,R 01:30 PM - 03:00 PM
ECO7204,TBA,3,2/2,R 01:30 PM - 03:00 PM
ECO7204,TBA,3,2/2,T 01:30 PM - 03:00 PM
ECO7204,AFD,4,42/42,T 10:10 AM - 11:40 AM
ECO7204,AFD,4,42/42,R 10:10 AM - 11:40 AM
ECO7204,SYJ,5,41/41,R 01:30 PM - 03:00 PM
ECO7204,SYJ,5,41/41,S 01:30 PM - 03:00 PM
ECO7204,SEH,6,29/35,MW 11:50 AM - 01:20 PM
ECO7204,STH,7,39/40,M 04:50 PM - 06:20 PM
ECO7204,STH,7,39/40,W 04:50 PM - 06:20 PM
ECO7204,PAG,8,48/48,T 11:50 AM - 01:20 PM
ECO7204,PAG,8,48/48,R 11:50 AM - 01:20 PM
ECO7204,AFD,9,40/40,TR 03:10 PM - 04:40 PM
ECO7204,SEH,10,16/40,SR 11:50 AM - 01:20 PM
ECO7260,UM,1,47/47,ST 11:50 AM - 01:20 PM
ECO7260,SEH,2,28/35,MW 03:10 PM - 04:40 PM
ECO7301,IH,1,22/40,MW 10:10 AM - 11:40 AM
ECO7301,GQH,2,34/40,S 10:10 AM - 11:40 AM
ECO7301,GQH,2,34/40,T 10:10 AM - 11:40 AM
ECO7302,SSM,1,26/30,MW 10:10 AM - 11:40 AM
ECO7302,SSM,2,18/30,ST 10:10 AM - 11:40 AM
ECO7304,IH,1,49/49,ST 08:30 AM - 10:00 AM
ECO7310,AKH,1,28/30,MW 11:50 AM - 01:20 PM
ECO7310,AKH,2,28/30,ST 11:50 AM - 01:20 PM
ECO7314,AKH,1,49/49,MW 08:30 AM - 10:00 AM
ECO7315,AFD,1,38/40,MW 10:10 AM - 11:40 AM
ECO7328,IMSR,1,22/30,ST 10:10 AM - 11:40 AM
ECO7328,IMSR,2,39/39,MW 01:30 PM - 03:00 PM
ECO7329,PKA,1,47/47,MW 03:10 PM - 04:40 PM
ECO7349,DHN,1,44/44,ST 10:10 AM - 11:40 AM
ECO7349,DHN,2,46/46,ST 03:10 PM - 04:40 PM
ECO7353,PKA,1,44/44,ST 01:30 PM - 03:00 PM
ECO7360,GQH,1,33/38,MW 11:50 AM - 01:20 PM
ECO7360,AKH,2,26/30,T 01:30 PM - 03:00 PM
ECO7360,AKH,2,26/30,R 01:30 PM - 03:00 PM
ECO7450,MAAM,1,47/47,ST 01:30 PM - 03:00 PM
ECO7465,MAAM,1,35/40,MW 01:30 PM - 03:00 PM
ECO7467,MC,1,40/40,MW 01:30 PM - 03:00 PM
ECO7475,PKA,1,44/44,ST 03:10 PM - 04:40 PM
ECO7475,TBA,2,0/0,MW 11:50 AM - 01:20 PM
ECO7477,DFI,1,25/30,A 12:10 PM - 03:10 PM
ECO7477,DFI,2,20/30,MW 10:10 AM - 11:40 AM
ECO7485,DEH,1,51/51,F 10:00 AM - 01:00 PM
ECO7487,YUNUS,1,13/30,A 09:00 AM - 11:59 AM
ECO7490,DHN,1,33/40,SR 11:50 AM - 01:20 PM
ECO7491,AMRH,1,18/40,ST 04:50 PM - 06:20 PM
ECO7492,PKA,1,46/46,MW 11:50 AM - 01:20 PM
ECO7495,TBA,1,26/40,F 06:10 PM - 09:10 PM
EEE101,DAH,1,16/30,TR 08:30 AM - 10:00 AM
EEE101,DAH,1,16/30,W 10:10 AM - 12:10 PM
EEE101,DAH,1,16/30,W 10:10 AM - 12:10 PM
EEE101,DAH,2,24/30,M 10:10 AM - 12:10 PM
EEE101,DAH,2,24/30,M 10:10 AM - 12:10 PM
EEE101,DAH,2,24/30,ST 01:30 PM - 03:00 PM
EEE101,STDR,3,20/30,MW 11:50 AM - 01:20 PM
EEE101,STDR,3,20/30,R 08:00 AM - 10:00 AM
EEE101,STDR,3,20/30,R 08:00 AM - 10:00 AM
EEE102,DMRK,1,30/30,ST 08:30 AM - 10:00 AM
EEE102,DMRK,1,30/30,W 08:00 AM - 10:00 AM
EEE102,DMRK,1,30/30,W 08:00 AM - 10:00 AM
EEE102,DFP,2,30/30,S 01:30 PM - 03:30 PM
EEE102,KNS,2,30/30,MW 01:30 PM - 03:00 PM
EEE102,KNS,3,20/30,TR 03:10 PM - 04:40 PM
EEE102,DMRK,3,20/30,M 08:00 AM - 10:00 AM
EEE102,DMRK,3,20/30,M 08:00 AM - 10:00 AM
EEE105,FMA,1,30/30,MW 10:10 AM - 11:40 AM
EEE105,FMA,1,30/30,T 10:10 AM - 12:10 PM
EEE105,MMAI,2,30/30,S 01:30 PM - 03:30 PM
EEE105,MMAI,2,30/30,TR 01:30 PM - 03:00 PM
EEE165,RNS,1,12/12,TR 01:30 PM - 03:00 PM
EEE165,RNS,2,11/11,TR 03:10 PM - 04:40 PM
EEE201,HAB,1,27/30,TR 08:30 AM - 10:00 AM
EEE201,SMNP,1,27/30,W 01:30 PM - 03:30 PM
EEE201,SMNP,1,27/30,W 01:30 PM - 03:30 PM
EEE201,SMNP,2,11/30,R 10:10 AM - 12:10 PM
EEE201,SMNP,2,11/30,R 10:10 AM - 12:10 PM
EEE201,HAB,2,11/30,MW 08:30 AM - 10:00 AM
EEE202,DMMAH,1,30/30,M 10:10 AM - 12:10 PM
EEE202,DMMAH,1,30/30,SR 11:50 AM - 01:20 PM
EEE202,KNS,2,30/30,ST 01:30 PM - 03:00 PM
EEE202,DMMAH,2,30/30,W 10:10 AM - 12:10 PM
EEE202,KNS,3,8/30,R 08:00 AM - 10:00 AM
EEE202,DMMUR,3,8/30,T 01:30 PM - 03:00 PM
EEE202,DMMUR,3,8/30,R 01:30 PM - 03:00 PM
EEE204,DMRK,1,30/30,MW 10:10 AM - 11:40 AM
EEE204,DMRK,1,30/30,T 10:10 AM - 12:10 PM
EEE204,RZS,2,30/30,M 10:10 AM - 12:10 PM
EEE204,RZS,2,30/30,SR 11:50 AM - 01:20 PM
EEE205,DMMUR,1,25/30,MW 03:10 PM - 04:40 PM
EEE205,DMMUR,1,25/30,S 01:30 PM - 03:30 PM
EEE205,DMMUR,1,25/30,S 01:30 PM - 03:30 PM
EEE205,RZS,2,30/30,W 08:00 AM - 10:00 AM
EEE205,DMMUR,2,30/30,ST 08:30 AM - 10:00 AM
EEE300,ADRN,1,40/40,MW 01:30 PM - 03:00 PM
EEE300,ADRN,2,40/40,ST 01:30 PM - 03:00 PM
EEE301,SMNP,1,30/30,ST 11:50 AM - 01:20 PM
EEE301,KNS,1,30/30,M 10:10 AM - 12:10 PM
EEE301,KHA,2,24/30,S 10:10 AM - 12:10 PM
EEE301,KHA,2,24/30,S 10:10 AM - 12:10 PM
EEE301,KHA,2,24/30,MW 11:50 AM - 01:20 PM
EEE303,DFP,1,40/40,TR 03:10 PM - 04:40 PM
EEE303,DFP,2,0/35,MW 11:50 AM - 01:20 PM
EEE304,DRAH,1,15/30,SR 08:30 AM - 10:00 AM
EEE304,DRAH,1,15/30,W 08:00 AM - 10:00 AM
EEE304,DRAH,1,15/30,W 08:00 AM - 10:00 AM
EEE304,DRAH,2,30/30,M 10:10 AM - 12:10 PM
EEE304,DRAH,2,30/30,M 10:10 AM - 12:10 PM
EEE304,DRAH,2,30/30,ST 11:50 AM - 01:20 PM
EEE305,DFP,1,40/40,MW 03:10 PM - 04:40 PM
EEE306,MMAI,1,29/30,TR 10:10 AM - 11:40 AM
EEE306,MMAI,1,29/30,R 08:00 AM - 10:00 AM
EEE306,RZS,2,30/30,T 08:00 AM - 10:00 AM
EEE306,RZS,2,30/30,MW 03:10 PM - 04:40 PM
EEE307,ADRN,1,30/30,TR 03:10 PM - 04:40 PM
EEE307,ADRN,1,30/30,M 10:10 AM - 12:10 PM
EEE308,STDR,1,33/40,MW 03:10 PM - 04:40 PM
EEE309,HAB,1,30/30,ST 11:50 AM - 01:20 PM
EEE309,HAB,1,30/30,S 08:00 AM - 10:00 AM
EEE399,MMKR,1,40/40,MW 08:30 AM - 10:00 AM
EEE400A,DAH,1,0/0,S 08:30 AM - 10:00 AM
EEE400B,TBA,1,28/40,F 10:00 AM - 11:00 AM
EEE402,STDR,1,31/31,S 01:30 PM - 03:00 PM
EEE402,STDR,1,31/31,T 01:30 PM - 03:30 PM
EEE402,STDR,1,31/31,T 01:30 PM - 03:30 PM
EEE402,STDR,1,31/31,R 01:30 PM - 03:00 PM
EEE403,MMAI,1,36/40,MW 08:30 AM - 10:00 AM
EEE414,KHA,1,35/35,TR 08:30 AM - 10:00 AM
EEE416,DMMAH,1,30/30,MW 01:30 PM - 03:00 PM
EEE416,DMMAH,1,30/30,S 01:30 PM - 03:30 PM
EEE419,TBA,1,7/7,ST 11:50 AM - 01:20 PM
EEE433,FMA,1,14/30,MW 08:30 AM - 10:00 AM
EEE433,FMA,1,14/30,S 01:30 PM - 03:30 PM
EEE435,TBA,1,2/2,S 08:00 AM - 10:00 AM
EEE435,TBA,1,2/2,MW 11:50 AM - 01:20 PM
EEE436,FMA,1,21/35,S 10:10 AM - 11:40 AM
EEE436,FMA,1,21/35,R 10:10 AM - 11:40 AM
EEE441,SMNP,1,36/40,MW 10:10 AM - 11:40 AM
EEE447,DRAH,1,12/30,TR 01:30 PM - 03:00 PM
EEE447,DRAH,1,12/30,T 04:50 PM - 06:50 PM
EEE7165,RNS,1,28/28,TR 01:30 PM - 03:00 PM
EEE7165,RNS,2,25/28,TR 03:10 PM - 04:40 PM
EHS302,KNN,1,40/41,ST 04:50 PM - 06:20 PM
EHS302,TBA1,2,0/0,S 08:30 AM - 10:00 AM
EHS302,TBA1,2,0/0,R 08:30 AM - 10:00 AM
EHS303,MRWS,1,39/40,MW 03:10 PM - 04:40 PM
EHS303,MRWS,2,23/35,S 10:10 AM - 11:40 AM
EHS303,MRWS,2,23/35,R 10:10 AM - 11:40 AM
EHS304,ASIB,1,19/35,M 03:10 PM - 04:40 PM
EHS304,ASIB,1,19/35,W 03:10 PM - 04:40 PM
EHS304,ASIB,2,31/35,MW 01:30 PM - 03:00 PM
EHS305,TT,1,35/35,ST 10:10 AM - 11:40 AM
EHS401,TBA2,1,0/0,MW 08:30 AM - 10:00 AM
EHS405,TBA,1,9/10,T 08:30 AM - 10:00 AM
EHS405,TBA,1,9/10,R 08:30 AM - 10:00 AM
EHS405,TBA,2,0/0,TR 04:50 PM - 06:20 PM
EHS405,TBA2,3,0/0,MW 10:10 AM - 11:40 AM
EMBA-501,MRDI,1,5/30,F 09:00 AM - 12:00 PM
EMBA-502,DLR,1,25/30,F 03:00 PM - 06:00 PM
EMBA-503,MARS,1,6/10,M 06:30 PM - 09:30 PM
EMBA-503,AKSA,2,2/10,F 09:00 AM - 12:00 PM
EMBA-504,DAB,1,0/10,F 03:00 PM - 06:00 PM
EMBA-504,DAB,2,3/10,F 06:30 PM - 09:30 PM
EMBA-505,SMCY,1,1/10,F 06:30 PM - 09:30 PM
EMBA-505,TBA,2,2/10,A 06:30 PM - 09:30 PM
EMBA-506,SMCY,1,1/10,F 06:30 PM - 09:30 PM
EMBA-506,TBA,2,6/10,A 06:30 PM - 09:30 PM
ENG_9503,SMAS,1,9/40,T 05:30 PM - 08:30 PM
ENG_9512,ZOA,1,9/40,A 09:00 AM - 12:00 PM
ENG_9514,MMNK,1,10/40,F 09:00 AM - 12:00 PM
ENG_9543,DMQ,1,9/40,A 05:30 PM - 08:30 PM
ENG_9545,DSH,1,14/40,S 05:30 PM - 08:30 PM
ENG_9559,AJ,1,17/40,W 05:30 PM - 08:30 PM
ENG099,SHZ,1,45/45,MW 01:30 PM - 03:00 PM
ENG099,HP,2,45/45,MW 04:50 PM - 06:20 PM
ENG099,TBA,3,0/0,MW 04:50 PM - 06:20 PM
ENG099,SMJ,4,23/45,S 08:30 AM - 10:00 AM
ENG099,SMJ,4,23/45,R 08:30 AM - 10:00 AM
ENG099,TBA,5,0/0,TR 08:30 AM - 10:00 AM
ENG099,ANISA,6,20/45,SR 11:50 AM - 01:20 PM
ENG099,TBA,7,0/0,SR 04:50 PM - 06:20 PM
ENG099,TBA,8,0/0,TR 04:50 PM - 06:20 PM
ENG099,TBA,9,0/0,MW 03:10 PM - 04:40 PM
ENG099,TBA,10,0/0,S 08:30 AM - 10:00 AM
ENG099,TBA,10,0/0,T 08:30 AM - 10:00 AM
ENG099,BITHY,11,9/40,T 11:50 AM - 01:20 PM
ENG099,BITHY,11,9/40,R 11:50 AM - 01:20 PM
ENG099,TBA,12,0/0,S 01:30 PM - 03:00 PM
ENG099,TBA,12,0/0,R 01:30 PM - 03:00 PM
ENG154,KNF,1,43/43,S 08:30 AM - 10:00 AM
ENG154,KNF,1,43/43,T 08:30 AM - 10:00 AM
ENG154,KNF,3,6/15,MW 10:10 AM - 11:40 AM
ENG191,SHZ,2,4/5,R 10:10 AM - 11:40 AM
ENG191,SHZ,2,4/5,T 10:10 AM - 11:40 AM
ENG192,AUHS,2,6/6,SR 03:10 PM - 04:40 PM
ENG205,HP,2,36/40,SR 11:50 AM - 01:20 PM
ENG207,SSNM,1,14/20,MW 08:30 AM - 10:00 AM
ENG207,KNF,3,8/10,MW 08:30 AM - 10:00 AM
ENG208,FSPI,1,14/25,MW 10:10 AM - 11:40 AM
ENG209,SHKA,1,20/20,MW 01:30 PM - 03:00 PM
ENG209,NHAM,2,43/43,ST 08:30 AM - 10:00 AM
ENG209,ARSHAD,4,3/20,T 03:10 PM - 04:40 PM
ENG209,ARSHAD,4,3/20,R 03:10 PM - 04:40 PM
ENG211,AFA,1,22/22,MW 10:10 AM - 11:40 AM
ENG213,DFA,1,40/40,TR 03:10 PM - 04:40 PM
ENG213,AUHS,2,41/42,MW 04:50 PM - 06:20 PM
ENG222,DBC,1,3/10,TR 10:10 AM - 11:40 AM
ENG222,DBC,2,11/18,R 11:50 AM - 01:20 PM
ENG222,DBC,2,11/18,T 11:50 AM - 01:20 PM
ENG226,ARA,1,42/44,S 10:10 AM - 11:40 AM
ENG226,ARA,1,42/44,R 10:10 AM - 11:40 AM
ENG226,NPS,2,42/43,ST 11:50 AM - 01:20 PM
ENG230,MARIA,1,19/22,S 11:50 AM - 01:20 PM
ENG230,MARIA,1,19/22,R 11:50 AM - 01:20 PM
ENG230,ARI,2,12/15,S 03:10 PM - 04:10 PM
ENG230,ARI,2,12/15,R 03:10 PM - 04:40 PM
ENG230,YAF,3,19/21,MW 03:10 PM - 04:40 PM
ENG235,IJDT,1,30/30,MW 11:50 AM - 01:20 PM
ENG245,SR,1,16/16,ST 01:30 PM - 03:00 PM
ENG245,KTK,2,3/10,MW 08:30 AM - 10:00 AM
ENG255,TR,1,22/22,R 03:10 PM - 04:40 PM
ENG255,TR,1,22/22,T 03:10 PM - 04:40 PM
ENG301,SHZ,1,24/40,MW 10:10 AM - 11:40 AM
ENG303,SMAS,1,38/43,MW 01:30 PM - 03:00 PM
ENG303,ROUF,2,10/10,ST 01:30 PM - 03:00 PM
ENG306,MRJK,1,23/23,S 11:50 AM - 01:20 PM
ENG306,MRJK,1,23/23,R 11:50 AM - 01:20 PM
ENG306,DZ,2,20/20,M 11:50 AM - 01:20 PM
ENG309,RAYSA,1,32/42,MW 10:10 AM - 11:40 AM
ENG310,SMR,1,22/22,MW 01:30 PM - 03:00 PM
ENG310,SMR,2,30/30,TR 03:10 PM - 04:40 PM
ENG310,TBA,3,1/4,S 03:10 PM - 04:40 PM
ENG310,TBA,3,1/4,R 03:10 PM - 04:40 PM
ENG313,IJDT,1,25/25,MW 08:30 AM - 10:00 AM
ENG313,IJDT,2,30/30,T 10:10 AM - 11:40 AM
ENG313,IJDT,2,30/30,R 10:10 AM - 11:40 AM
ENG315,SMR,1,24/24,R 11:50 AM - 01:20 PM
ENG315,SMR,1,24/24,T 11:50 AM - 01:20 PM
ENG315,AUHS,2,24/24,MW 01:30 PM - 03:00 PM
ENG315,YAF,3,23/23,MW 01:30 PM - 03:00 PM
ENG319,SABIHA,1,43/43,MW 10:10 AM - 11:40 AM
ENG340,KK,1,40/44,S 11:50 AM - 01:20 PM
ENG340,KK,1,40/44,R 11:50 AM - 01:20 PM
ENG402,FSPI,1,23/40,ST 10:10 AM - 11:40 AM
ENG403,AFA,1,43/43,TR 10:10 AM - 11:40 AM
ENG403,NOMAN,2,45/45,ST 11:50 AM - 01:20 PM
ENG410,DASA,1,23/30,MW 10:10 AM - 11:40 AM
ENG411,DMQ,1,35/35,MW 10:10 AM - 11:40 AM
ENG412,AJ,1,37/37,ST 01:30 PM - 03:00 PM
ENG412,MTUR,2,36/36,TR 03:10 PM - 04:40 PM
ENG413,SFHQ,1,43/43,T 10:10 AM - 11:40 AM
ENG413,SFHQ,1,43/43,R 10:10 AM - 11:40 AM
ENG422,DZ,1,38/42,MW 01:30 PM - 03:00 PM
ENG426,FA,1,21/40,MW 01:30 PM - 03:00 PM
ENG426,SNH,2,40/40,MW 10:10 AM - 11:40 AM
ENG435,ARI,1,11/40,MW 03:10 PM - 04:40 PM
ENG438,SNH,1,38/40,TR 10:10 AM - 11:40 AM
ENG438,SR,2,7/20,ST 11:50 AM - 01:20 PM
ENG445,NOMAN,1,18/40,ST 10:10 AM - 11:40 AM
ENG450,MSWH,1,26/40,ST 03:10 PM - 04:40 PM
ENG451,SFHQ,1,40/40,MW 08:30 AM - 10:00 AM
ENG451,ZOA,2,31/40,MW 01:30 PM - 03:00 PM
ENG7100,DSH,1,1/30,ST 01:30 PM - 03:00 PM
ENG7100,FA,2,34/35,MW 10:10 AM - 11:40 AM
ENG7100,DMQ,3,35/35,MW 11:50 AM - 01:20 PM
ENG7100,AJ,4,35/35,ST 11:50 AM - 01:20 PM
ENG7100,ZOA,5,35/35,MW 03:10 PM - 04:40 PM
ENG7100,AFA,6,35/35,MW 08:30 AM - 10:00 AM
ENG7100,MIJ,7,35/35,MW 11:50 AM - 01:20 PM
ENG7100,ARI,8,35/35,MW 01:30 PM - 03:00 PM
ENG7100,TR,9,35/35,SR 04:50 PM - 06:20 PM
ENG7100,SFHQ,10,35/35,T 08:30 AM - 10:00 AM
ENG7100,SFHQ,10,35/35,S 08:30 AM - 10:00 AM
ENG7100,TBA,11,0/0,S 03:10 PM - 04:40 PM
ENG7100,TBA,11,0/0,T 03:10 PM - 04:40 PM
ENG7100,KNF,12,35/35,T 10:10 AM - 11:40 AM
ENG7100,KNF,12,35/35,R 10:10 AM - 11:40 AM
ENG7100,MRJK,13,35/35,R 10:10 AM - 11:40 AM
ENG7100,MRJK,13,35/35,S 10:10 AM - 11:40 AM
ENG7100,SHKA,14,36/36,MW 03:10 PM - 04:40 PM
ENG7100,SSNM,15,35/35,T 10:10 AM - 11:40 AM
ENG7100,SSNM,15,35/35,R 10:10 AM - 11:40 AM
ENG7100,KK,16,3/30,MW 01:30 PM - 03:00 PM
ENG7100,TBA,17,0/0,S 01:30 PM - 03:00 PM
ENG7100,TBA,17,0/0,R 01:30 PM - 03:00 PM
ENG7100,ARA,18,35/35,TR 08:30 AM - 10:00 AM
ENG7100,SMR,19,33/35,MW 03:10 PM - 04:40 PM
ENG7100,NPS,20,35/35,ST 04:50 PM - 06:20 PM
ENG7100,IJDT,21,35/35,SR 08:30 AM - 10:00 AM
ENG7100,TBA,22,0/0,SR 11:50 AM - 01:20 PM
ENG7100,MARIA,23,35/35,ST 04:50 PM - 06:20 PM
ENG7100,AFA,24,36/36,TR 08:30 AM - 10:00 AM
