Column1,Column2,Column3,Column4,Column5
Generated on: 2025-06-18,,,,
Course Code,Faculty Initial,Section,Seats,Time
CSE101,TZE,12,35/35,T 04:50 PM - 06:20 PM
CSE101,TZE,12,35/35,S 04:50 PM - 06:20 PM
CSE101,DNMH,13,35/35,M 08:30 AM - 10:00 AM
CSE101,DNMH,13,35/35,W 08:30 AM - 10:00 AM
CSE101,DNMH,14,35/35,W 10:10 AM - 11:40 AM
CSE101,DNMH,14,35/35,M 10:10 AM - 11:40 AM
CSE101,RUTBA,15,34/35,S 03:10 PM - 04:40 PM
CSE101,RUTBA,15,34/35,T 03:10 PM - 04:40 PM
CSE101,RUTBA,16,30/35,T 04:50 PM - 06:20 PM
CSE101,RUTBA,16,30/35,S 04:50 PM - 06:20 PM
CSE101,REZVI,17,35/35,M 03:10 PM - 04:40 PM
CSE101,REZVI,17,35/35,W 03:10 PM - 04:40 PM
CSE101,REZVI,18,35/35,W 01:30 PM - 03:00 PM
CSE101,REZVI,18,35/35,M 01:30 PM - 03:00 PM
CSE101,NRST,19,29/35,S 08:30 AM - 10:00 AM
CSE101,NRST,19,29/35,R 08:30 AM - 10:00 AM
CSE101,NRST,20,35/35,R 10:10 AM - 11:40 AM
CSE101,NRST,20,35/35,S 10:10 AM - 11:40 AM
CSE101,RRD,21,26/35,T 08:30 AM - 10:00 AM
CSE101,RRD,21,26/35,S 08:30 AM - 10:00 AM
CSE101,RRD,22,35/35,S 10:10 AM - 11:40 AM
CSE101,RRD,22,35/35,T 10:10 AM - 11:40 AM
CSE101,TBA,23,0/0,S 08:30 AM - 10:00 AM
CSE101,TBA,23,0/0,R 08:30 AM - 10:00 AM
CSE101,TBA,24,0/0,T 10:10 AM - 11:40 AM
CSE101,TBA,24,0/0,S 10:10 AM - 11:40 AM
CSE101,TBA,25,0/0,S 08:30 AM - 10:00 AM
CSE101,TBA,25,0/0,R 08:30 AM - 10:00 AM
CSE101,TBA,26,0/0,R 10:10 AM - 11:40 AM
